problem_id,task_id,problem_label,problem_complexity,ast_depth,branch_count,loop_count,function_count,control_flow_ratio,functional_pass_rate,ssi,pssi,sds,structural_variance
humaneval_055,HumanEval/55,HE-55,13.29009324,8.506666666666666,2.7066666666666666,0.7466666666666667,1.24,0.09009324,1.0,0.763137123160523,1.0811676884167138,0.830278797788857,0.1982677879035556
humaneval_056,HumanEval/56,HE-56,13.683458799999999,8.226666666666667,3.2533333333333334,1.0933333333333333,1.0,0.11012546666666667,1.0,0.8232251633013987,0.4853604873936354,0.39830176634406794,0.05407846228562516
humaneval_057,HumanEval/57,HE-57,15.234274760000002,9.933333333333334,3.48,0.76,1.0,0.060941426666666666,1.0,0.7506857985150354,1.539940453344862,1.085578471581776,0.3717554337546544
humaneval_058,HumanEval/58,HE-58,11.026069906666667,8.76,0.8133333333333334,0.38666666666666666,1.0266666666666666,0.03940324,1.0,0.6984730532797475,0.7895533664921418,0.9198015856856324,0.30938125937949706
humaneval_059,HumanEval/59,HE-59,13.961604573333334,8.48,2.08,2.3333333333333335,1.0,0.06827124,0.6666666666666666,0.8823020008085862,0.226625463087882,0.21596401695279113,0.0291461282410195
humaneval_060,HumanEval/60,HE-60,10.052639094594593,7.878378378378378,0.8513513513513513,0.25675675675675674,1.0,0.06615260810810811,1.0,0.8769496379700723,0.544248051755751,0.4797636002051225,0.06239306605600147
humaneval_061,HumanEval/61,HE-61,13.828371373333333,8.266666666666667,3.28,1.1733333333333333,1.0,0.10837137333333334,1.0,0.7729590545292636,0.5980263598794321,0.5387148259533998,0.0844022231383546
humaneval_062,HumanEval/62,HE-62,10.929899653333333,8.84,0.76,0.28,1.0,0.049899653333333335,1.0,0.8383493980389868,0.9801964420123417,0.7254647101053577,0.12081017010123911
humaneval_063,HumanEval/63,HE-63,15.783521933333335,9.88,3.2933333333333334,1.0666666666666667,1.48,0.06352193333333334,1.0,0.7252166152846351,1.0433143563822929,1.1108462118388034,0.5401275163612856
humaneval_064,HumanEval/64,HE-64,16.1226348,10.106666666666667,3.453333333333333,1.0533333333333332,1.4666666666666666,0.0426348,0.9466666666666667,0.7165433991843965,2.560266284360751,1.9798000705464822,2.662867615461089
humaneval_065,HumanEval/65,HE-65,13.493164026666667,9.493333333333334,2.8666666666666667,0.08,1.0,0.05316402666666667,0.9733333333333334,0.7864785292587848,0.4796610528777408,0.44903140757123117,0.08305829774283548
humaneval_066,HumanEval/66,HE-66,12.271571786666668,9.28,1.1333333333333333,0.8,1.0,0.058238453333333336,1.0,0.8640422501202158,1.4169640914836983,1.1127830547391462,0.2795343699593014
humaneval_067,HumanEval/67,HE-67,11.044497293333334,8.506666666666666,1.3066666666666666,0.2,1.0,0.03116396,1.0,0.7451388439082912,0.970346387141919,0.8430625043241703,0.21422269694849697
humaneval_068,HumanEval/68,HE-68,14.714093839999999,9.453333333333333,3.2933333333333334,0.8933333333333333,1.0,0.07409384000000001,1.0,0.7567682765422378,0.8032245268223156,0.6922935141105983,0.11984440807264458
humaneval_069,HumanEval/69,HE-69,12.469468773333332,8.626666666666667,1.7466666666666666,1.04,1.0,0.056135439999999995,1.0,0.8267634250319114,0.7411119202586103,0.5461349203097688,0.08339267293148948
humaneval_070,HumanEval/70,HE-70,13.376304733333333,9.386666666666667,1.8,1.1466666666666667,1.0,0.0429714,1.0,0.7875203717662042,0.6283045748157305,0.5523664796890615,0.10481214558168954
humaneval_071,HumanEval/71,HE-71,13.556079453333334,10.386666666666667,2.1066666666666665,0.02666666666666667,1.0,0.03607945333333333,1.0,0.8794788042831938,0.36879282639277955,0.3051924927180321,0.04018500828732818
humaneval_072,HumanEval/72,HE-72,10.870185706666666,8.613333333333333,0.9466666666666667,0.25333333333333335,1.0,0.05685237333333333,1.0,0.8216949996183102,1.7145141816256422,1.3154751277329197,0.4253087366413622
humaneval_073,HumanEval/73,HE-73,14.002766066666666,9.973333333333333,1.64,1.2933333333333332,1.0533333333333332,0.042766066666666665,0.8933333333333333,0.779888086333157,1.0692638436659798,0.9383326581349275,0.469475488203051
humaneval_074,HumanEval/74,HE-74,10.954664253333334,8.213333333333333,1.4,0.14666666666666667,1.1466666666666667,0.04799758666666667,1.0,0.8143413742454083,0.9829056454266142,0.8783082376021326,0.24744765864629803
humaneval_075,HumanEval/75,HE-75,22.050382253333336,10.653333333333334,5.32,4.066666666666666,1.9066666666666667,0.10371558666666666,0.9866666666666667,0.7113832781800545,1.082217524533451,0.9313677870832683,0.2697523384991869
